username	time	date	city	tweet	flixbus	bahn	blablacar	country
RalphDeGael	13:33:42	18.11.2017		RT @Einzelfallinfos: #Hamburg: Betrunkener namibischer Asylbewerber beschimpft DB-Mitarbeiterin aufs Übelste und bewirft sie mit Blument… 	0	1	0	Tristan Da Cunha
Advents_Ansage	13:34:17	18.11.2017		«Dieser Zug ist kein Adventskalender. Sie dürfen alle Türen nutzen.» #BahnAnsagenBot	0	1	0	
MiaSanMia2013	13:34:48	18.11.2017		@skmichel72 @FCBTicketing @d0al1 Sina und nun aufm Weg. Bahn hatte Verspätung. Am besten am Bernie.	0	1	0	
tiseeg	13:34:53	18.11.2017		"@AnnaGretemeier @GER_Headhunter @DB_Bahn ""Unser Zug hat im Moment leider 10min Verspätung aufgrund von Verzögerungen im Betriebsablauf"". 😉"	0	1	0	
JudithM16141967	13:35:04	18.11.2017	Viersen	RT @OssiMarzahn76: @dushanwegner Ist ja nen ganz cleverer Zug von Twitter,gerade jetzt wo die Aktien schon nicht so dolle stehn. Wird nen K…	0	1	0	 Deutschland
seb1893	13:35:17	18.11.2017		Muss da immer an Nordkorea denken, wenn ich die Choreo sehe https://t.co/gzFeLozc4n	0	1	0	Leipzig
LousSvenja	13:35:35	18.11.2017	Baden-Württemberg	Omg 😳😂😂 https://t.co/NLDMIykqHs	0	1	0	 Deutschland
jobstairs_jobs	13:36:02	18.11.2017		#Job #Stellenangebot https://t.co/S4j1oefk8Z - Deutsche Bahn AG: Leiter Fahrpersonal KiN Niedersachsen (w/m)	0	1	0	
ennonahverkehr	13:36:03	18.11.2017		83517 Hannover Hbf → Wolfsburg hat in Gifhorn (planmäßig 13:26) +10 min. Grund: Überholung durch einen anderen Zug .	0	1	0	
herzhamburgerin	13:36:29	18.11.2017		Ich sitze seit 2 1/2 Stunden im Zug und brauche noch 1 1/2 Stunden nach Maastricht weil ich gleich mit dem SEV-Bus… https://t.co/rw7gCGssky	0	1	0	Europa
nikenemo	13:36:29	18.11.2017	Hamburg	@KeineAFD2017 Das wäre doch mal ein menschlicher Zug.	0	1	0	 Germany
FSVZwickau	13:36:36	18.11.2017	Zwickau	Für den gesperrten Bahn und den verletzten Schröter rutschen heute Barylla und Wagner in die Startelf ... #KSCFSV https://t.co/k3nbBuHlqn	0	1	0	 Sachsen
szonline	13:36:57	18.11.2017	ÜT: 51.056958	Irgendwo auf dem Weg nach #Karlsruhe - Zug mit Fußballfans aus #Zwickau verfährt sich: https://t.co/rXcORR5paj @FSVZwickau	0	1	0	13.723433
gemarkung99	13:36:59	18.11.2017		RT @Gelbkopfamazone: #Feinstaubalarm geht wieder los: Quetschen Sie sich zu Wucherpreisen in eine überfüllte S-Bahn und spielen Sie mit… 	0	1	0	auf dem konzentrationsplaneten
Fussball_Bild	13:37:05	18.11.2017		Peinliche Bahn-Panne - FSV-Sonderzug fehlgeleitet https://t.co/fFSTGMkn6c	0	1	0	Berlin
SportimOsten	13:37:23	18.11.2017		RT @FSVZwickau: Für den gesperrten Bahn und den verletzten Schröter rutschen heute Barylla und Wagner in die Startelf ... #KSCFSV https://t…	0	1	0	Leipzig
dritteliga	13:37:52	18.11.2017		https://t.co/ei6oyaMW5A	0	1	0	Deutschland
nwscp	13:38:04	18.11.2017		"Mit dem Zug ""fast pünktlich"" am Freitag angekommen - wird der Zug heute f. den #SCP weiterrollen? Alle Infos im Liv… https://t.co/8ChexUL938"	0	1	0	Paderborn
bahnbilder	13:38:10	18.11.2017		DB Cargo mit der Vectron Doppeltraktion MRCE X4 E - 859 + Railpool 193 805-9 #karow900de https://t.co/KeQrc6q7zn https://t.co/KK8QJYPgK9	0	1	0	Berlin
bpol_koblenz	13:39:27	18.11.2017	Koblenz	"Auf dem Weg zu #rmg1811? 
#Bahn​reisende am #Bahnhof #Remagen bitte die Sicherheitshinweise der #Bundespolizei beachten.
#bpol @DB_Bahn *rw"	0	1	0	 Deutschland
Ladifaahri	13:39:58	18.11.2017	Darmstadt	Ok. Ein Zug ist da. Vielleicht hab ich Glück und er fährt nach Gießen. Meine Hände sind auch nur taub und noch nicht ab. Yay! \o/	0	1	0	 Deutschland
KVB_Info	13:40:02	18.11.2017		Linie 152 * Folgende Fahrt erfolgt ca. 14 Min. später * (H) Ostheim 12:46h - (H) Wiener Platz 13:03h - (H) Berliner… https://t.co/6xrDnFXEH8	0	1	0	Köln
erixxinfo	13:40:04	18.11.2017		Zug 83720 von Hannover Hbf nach Buchholz(Nordheide) verkehrt heute mit 10 min Verspätung ab Hodenhagen (planmäßige Abfahrt 13:29).	0	1	0	
Opa_H2409	13:40:12	18.11.2017	Neuwied	"RT @bpol_koblenz: Auf dem Weg zu #rmg1811? 
#Bahn​reisende am #Bahnhof #Remagen bitte die Sicherheitshinweise der #Bundespolizei beachten.…"	0	1	0	 Deutschland
fndmgirl	13:40:14	18.11.2017		@thecloudofidea ich bin gerade in der bahn und musste sehr laut kichern.	0	1	0	257ers / kk / tp4l / kiz
ReinhardKlophau	13:40:17	18.11.2017		"RT @Saltytrees: Erschütternd : ""Keiner der zahlreichen Erwachsenen schritt ein"" - so ermuntert man Täter, immer weiter Grenzen ausz… "	0	1	0	Kassel
droidmar	13:40:20	18.11.2017		RT @JanBosse: Gibt nichts schöneres als früh morgens beruflich mit dem Zug zu fahren, wenn die Männergruppe gegenüber sich schon… 	0	1	0	
PfannKPolizei	13:40:29	18.11.2017	Berlin	Berliner? Du meintest wohl Pfannkuchen! https://t.co/2NDC7kn0cb	0	1	0	 Deutschland
Soeren_BILD	13:40:48	18.11.2017		"Die Deutsche Bahn ist aber auch immer für eine Überraschung gut... @DB_Info #3liga #KSCFSV 
https://t.co/xabJLxxu8d"	0	1	0	
KarlsruherSC	13:41:03	18.11.2017	Karlsruhe	⚽ Und so beginnen die Gäste. #KSCFSV #nurderksc https://t.co/xuEoK9EVWz	0	1	0	 Baden
halsbruecke	13:41:22	18.11.2017		RT @szonline: Irgendwo auf dem Weg nach #Karlsruhe - Zug mit Fußballfans aus #Zwickau verfährt sich: https://t.co/rXcORR5paj @FSVZwickau	0	1	0	Germany
Berliner_jung78	13:41:35	18.11.2017	52.540138	U5 Hellersdorf: Mann läuft über Gleise und wird von U-Bahn erfasst https://t.co/WbOwd1tNC2	0	1	0	13.576075
felixmalutzki	13:41:52	18.11.2017		"ich meine ich bin nicht Anti drauf trinke zwar nicht
 aber mich wundert auch gar nix mehr
 Song Texte - ""MDA und Sp… https://t.co/NCO8XmAW5U"	0	1	0	
OnefootballDE	13:41:56	18.11.2017		Sich mit 'nem Zug zu verfahren, muss man auch erstmal schaffen - vor #KSCFSV passierte dem Zwickauer Sonderzug aber… https://t.co/BI95AQD5Di	0	1	0	worldwide
nordwestnews24	13:42:03	18.11.2017	Bremen	#erixxinfo: Zug 83720 von Hannover Hbf nach Buchholz(Nordheide) verkehrt heute mit 10 min Verspätung ab Hodenhagen… https://t.co/GBnU1ewsKq	0	1	0	 Deutschland
Mary__Pie	13:42:22	18.11.2017		Wenn du extra guckst wann die Bahn kommt, dir denkst du hast Zeit und dich dann in Twitter verlierst. Ups	0	1	0	639 km ~ M 
Ataraxios	13:42:34	18.11.2017		RT @LogbuchSuhrkamp: »Aus dem Zug 2: Pilznarr – #Obstdiebin – Familienmitglied«. #RaimundFellinger über die Entstehung des neuen Romans… 	0	1	0	Hier und Jetzt ! 
MARKANTdjPOOL	13:43:16	18.11.2017		"RT @infozentrale: 11.20 Zug aus #Dortmund mit ""Die Rechte"" eingetroffen. #Remagen #rmg1811 https://t.co/INBpsB5WQI"	0	1	0	
laziatedesca	13:43:48	18.11.2017		Freizeit, Wellness, Lunch, meine Version: ganz alleine S-Bahn fahren mit 2 Mandarinen und Trekkingschuhen. https://t.co/VCebmmAHul	0	1	0	
AVorrath	13:44:06	18.11.2017		"RT @Report_Antisem: Nun frei zugänglich: Anti-Israel-Kampagne - Wie #BDS gegen #Israel hetzt. via @tagesspiegel #Berlin
https://t.co/EZ3bed…"	0	1	0	
BILD_FSVZwickau	13:44:11	18.11.2017		"Darum wurde der Anpfiff verschoben! #KSCFSV 
https://t.co/oy5Vp3TFUY"	0	1	0	
real_mos	13:44:15	18.11.2017		Der ÖPNV im Ruhrgebiet wurde seit Jahrzehnten erfolgreich von unfähigen Lokalpolitikern heruntergewirtschaftet. Nic… https://t.co/sQQxoPLzEq	0	1	0	Köln
Sirius_de_Carlo	13:44:21	18.11.2017		@Badl360 Ich habe eine richtig schlechte Laune und darf gleich noch 6,5 h Zug fahren.	0	1	0	Scarlets discord
Azure_Cris	13:45:00	18.11.2017		Now available - Spark connector for Azure Cosmos DB - https://t.co/PAWrYkCe3E	0	1	0	in the Cloud
metalgigs_ch	13:45:02	18.11.2017		18.11.2017: Kraanium, Acranius, Dynamite Abortion, Gutrectomy @ Industrie45, Zug https://t.co/UKrhtLI8Kn	0	1	0	Switzerland
maikburbulla	13:45:19	18.11.2017		"RT @BILD_FSVZwickau: Darum wurde der Anpfiff verschoben! #KSCFSV 
https://t.co/oy5Vp3TFUY"	0	1	0	Next to coffeemachine
pilz_dirk	13:45:21	18.11.2017		RT @LogbuchSuhrkamp: »Aus dem Zug 2: Pilznarr – #Obstdiebin – Familienmitglied«. #RaimundFellinger über die Entstehung des neuen Romans… 	0	1	0	
franklichnok	13:45:28	18.11.2017		Man traut der #Bahn ja allerhand zu. Aber so was... https://t.co/SIeKhJACpW	0	1	0	
Lemur_9898	13:45:42	18.11.2017		"RT @Rokasporch: Hauptbahnhof Fürth. Zug (doppelte Garnitur) aus Cadolzburg kommend hat Cadolzburg als Fahrziel stehen.

2. Zugführe… "	0	1	0	
ufleku2	13:45:50	18.11.2017		RT @szonline: Irgendwo auf dem Weg nach #Karlsruhe - Zug mit Fußballfans aus #Zwickau verfährt sich: https://t.co/rXcORR5paj @FSVZwickau	0	1	0	Elbflorenz - Dresden Ost 
gaudibrezn	13:46:19	18.11.2017		RT @FasziFankurve: #Sonderzug zum Auswärtsspiel kann ja jeder. 900 #FCBayern-Fans reisten heute mit eigenem Zug zum Heimspiel in… 	0	1	0	Bavaria
YuuseiDoitsu_bo	13:46:28	18.11.2017		Mein Zug...draw...	0	1	0	
dasgero	13:46:36	18.11.2017	Berlin	"RT @Report_Antisem: Nun frei zugänglich: Anti-Israel-Kampagne - Wie #BDS gegen #Israel hetzt. via @tagesspiegel #Berlin
https://t.co/EZ3bed…"	0	1	0	 Germany
Lieblingshemd	13:47:01	18.11.2017		"9min und dann sitz ich im warmen Zug. 
ES IST SO KALT"	0	1	0	
erixxinfo	13:47:03	18.11.2017		Zug 83009 von Bremen Hbf nach Uelzen verkehrt heute mit 13 min Verspätung ab Visselhövede (planmäßige Abfahrt 13:31). Grund:	0	1	0	
ChinookCimba	13:47:09	18.11.2017		@vom_Deich Als ich das letzte mal Bahn gefahren bin, da war die Dampflok noch in Mode. 😂	0	1	0	Norddeutschland
bahnbilder	13:47:24	18.11.2017		DB Cargo mit der MRCE Vectron Doppeltraktion 193 600-4 + 193 873-7 und Erzzu #karow900de https://t.co/9aD5AbWZTf https://t.co/s26AR6Jbmn	0	1	0	Berlin
erixxinfo	13:48:03	18.11.2017		Zug 83719 von Buchholz(Nordheide) nach Hannover Hbf verkehrt heute mit 10 min Verspätung ab Schwarmstedt (planmäßige Abfahrt 13:36).	0	1	0	
shinypotatos	13:48:25	18.11.2017		Ne Art Gegenstück zur Deutschen Bahn https://t.co/2Uiu6zloPz	0	1	0	
DJTJ180	13:48:28	18.11.2017	Mönchengladbach	RT @Fussball_Bild: Peinliche Bahn-Panne - FSV-Sonderzug fehlgeleitet https://t.co/fFSTGMkn6c	0	1	0	 Nordrhein-Westfalen
GertWalterWolf1	13:49:19	18.11.2017		RT @KarinBrix: man sollte nur denen glauben die das selbst erlebt haben und Frauen die allein abends Bus und Bahn fahren haben gen… 	0	1	0	
la_ghirlandata	13:49:22	18.11.2017	Hamburg	Der Zug fährt! Nächste Challenge dann nachher: Aus der Hundertwasserhölle von Uelzen entkommen!	0	1	0	 Deutschland
CB1502	13:49:41	18.11.2017		Der Zug hat versehentlich Bielefeld gefunden! https://t.co/8bR8thaXSn	0	1	0	Shutter Island bei Dresden
breakingnewshh	13:49:45	18.11.2017	Hamburg	"RT @HVVStoerungen: S3
Busse statt Bahnen zw Neugraben &lt;=&gt; Harburg Rathaus ab Samstag, 18. November (1 Uhr) bis Sonntag, 19. November (… "	0	1	0	 Deutschland
Snipz_1900	13:49:49	18.11.2017	Köln	RT @FasziFankurve: #Sonderzug zum Auswärtsspiel kann ja jeder. 900 #FCBayern-Fans reisten heute mit eigenem Zug zum Heimspiel in… 	0	1	0	 Deutschland
dan_roedding	13:50:43	18.11.2017	Berlin	@willichnich @stromschiene @BVG_Ubahn Bei der #Eisenbahn wurde das Phänomen der verlängerten Abfertigungszeiten neu… https://t.co/YdeKoeOPjo	0	1	0	 Deutschland
DB_Bahn	13:50:47	18.11.2017		@Lemur_9898 Was nicht heißt, dass ich jedes einzelne Fahrzeug der DB kenne. Sieht halt aus, wie ein Linienbus der DB, welcher WLAN hat. /ti	0	1	0	Frankfurt
BrigadoomDE	13:50:56	18.11.2017		@Westminster1000 Sehe ich auch so. Bin im Frühjahr auf einem Resi Treffen. Das ist ein Zug motivierte Kämpen.	0	1	0	Berlin und San Diego
metronom4me	13:51:01	18.11.2017		82020 Bremen Hbf → Hamburg Hbf hat in Bremen Hbf (planmäßig 13:33) +10 min. Grund: Überholung durch einen anderen Zug .	0	1	0	Uelzen, Niedersachsen, Germany
wedonthave2talk	13:51:16	18.11.2017		@thesilveryvenom oh mit zug sind es doch 2:30 ups	0	1	0	[ bann | pandy | paurah | Eও ]
StrClaudi	13:51:30	18.11.2017		I’m at @ZRH airport after a relaxing ride with @flixbus from Munich.	1	0	0	
nordwestnews24	13:52:07	18.11.2017	Bremen	#erixxinfo: Zug 83009 von Bremen Hbf nach Uelzen verkehrt heute mit 13 min Verspätung ab Visselhövede (planmäßige Abfahrt 13:31). Grund:	0	1	0	 Deutschland
nordwestnews24	13:52:08	18.11.2017	Bremen	#erixxinfo: Zug 83719 von Buchholz(Nordheide) nach Hannover Hbf verkehrt heute mit 10 min Verspätung ab Schwarmsted… https://t.co/znHfLuScnh	0	1	0	 Deutschland
liga3stadium	13:52:12	18.11.2017		RT @FSVZwickau: Für den gesperrten Bahn und den verletzten Schröter rutschen heute Barylla und Wagner in die Startelf ... #KSCFSV https://t…	0	1	0	
Soholamiou	13:52:34	18.11.2017	Rheinland-Pfalz	"RT @vie_kafkaienne: Kennen Sie auch diese lauten Männer, die dauernd mit dem Bein wackeln und laut Kaugummi kauen?

So einer redet sehr… "	0	1	0	 Deutschland
bahnbilder	13:53:26	18.11.2017		185 259-9 mit einem Zug Drehgestell-Flachwagen (Stahlprodukte) am 09.11.17 B #karow900de https://t.co/ElLDu9vr65 https://t.co/CeBDQbKDBw	0	1	0	Berlin
Zaunei	13:53:45	18.11.2017	Kaiserslautern	"Symbolbild: ""Oh Mist, ich muss ja noch eine Abgabe bis Montag machen bin aber bis Montag in den Niederlanden."" Aber… https://t.co/GCb93ferMA"	0	1	0	 Deutschland
vfbsupporter	13:54:03	18.11.2017		Der Weichenstellermann der Bahn wollte es diesen Menschen halt nicht zumuten, dass sie in KA aussteigen müssen. Wer… https://t.co/sFGyxBDJDM	0	1	0	Cannstatter Kurve
Luisante	13:54:06	18.11.2017	Munich	Seit es AirBerlin nicht mehr gibt, fliegt @Lufthansa_DE fast im S-Bahn-Takt. Nur leider nicht zu S-Bahn-Preisen. 😒 https://t.co/CaMXqZCLp7	0	1	0	 Germany
erixxinfo	13:55:03	18.11.2017		Zug 83009 von Bremen Hbf nach Uelzen verkehrt heute mit 13 min Verspätung ab Visselhövede (planmäßige Abfahrt 13:31). Grund: Einwirkung	0	1	0	
Rapefugeesx24	13:55:32	18.11.2017		"Mädchen im Zug von Ausländern belästigt, geschlagen und bespuckt
https://t.co/xh93vCF7hH"	0	1	0	
UweWolff966	13:55:55	18.11.2017		RT @Einzelfallinfos: #Nettetal: Zur Abschiebung ausgeschriebener Marokkaner hat bereits in #Österreich, der #Schweiz,den #Niederlanden u… 	0	1	0	
metronom4me	13:56:02	18.11.2017		Wegen der Oberleitungsstörung in Hamburg Hbf endet 81922 Bremen nach Hamburg Hbf heute in Hamburg-Harburg, Fahrgäst… https://t.co/wgL4vguHi3	0	1	0	Uelzen, Niedersachsen, Germany
unkommunikativ	13:56:12	18.11.2017	Gießen	ich werde drei stunden vor einlass da sein weil der spätere Zug ausfällt ja wow	0	1	0	 Deutschland
KREACLOWDY1	13:56:12	18.11.2017		RT @t3n: Endlich: Bahntickets können jetzt auch mobil mit Paypal bezahlt werden https://t.co/baFByDjIyq	0	1	0	
nordwestnews24	13:56:14	18.11.2017	Bremen	#metronom: 82020 Bremen Hbf → Hamburg Hbf hat in Bremen Hbf (planmäßig 13:33) +10 min. Grund: Überholung durch einen anderen Zug .	0	1	0	 Deutschland
nordwestnews24	13:56:18	18.11.2017	Bremen	#metronom: Wegen der Oberleitungsstörung in Hamburg Hbf endet 81922 Bremen nach Hamburg Hbf heute in Hamburg-Harbur… https://t.co/kReBRMBG2I	0	1	0	 Deutschland
pressekoenig	13:56:58	18.11.2017		Morgen ist es so weit: 56 Denksportler aus drei Nationen sind beim 20. Senioren-Schach-Open Bad Griesbach am Zug/IM… https://t.co/elaFu8M1SD	0	1	0	Pfarrkirchen (Bavaria)
erixxinfo	13:57:03	18.11.2017		Zug 83719 von Buchholz(Nordheide) nach Hannover Hbf verkehrt heute mit 11 min Verspätung ab Lindwedel (planmäßige Abfahrt 13:43). Grund:	0	1	0	
Nr32681	13:57:13	18.11.2017		@FeeMitV2EH @7Drache7 In Bsp. Nr 2 wurde Reisenden ein Platz im Zug weggenommen. Ich sehs eher als nicht so tragisc… https://t.co/ooWbuacTqc	0	1	0	Deutschland
leighlovegood_	13:58:00	18.11.2017		Seit Jahren wieder Angst, dass die Menschen im Zug gedanklich über mein Äußeres und meine Präsenz lästern, sobald die mich länger anschauen.	0	1	0	
diamantherz	13:58:02	18.11.2017		@FlixBus_DE bzw. vielleicht sollten Sie so eine Mitgliedskarte machen. Ich bin doch mindestens schon 200 Mal mit flixbus gefahren. :D	1	0	0	
SidneyBunny	13:58:58	18.11.2017		RT @RoterClaus: In der Bahn in Köln auf dem Weg zu #D64Hurra Gespräch eines älteren Ehepaars belauscht: Sie glauben nicht an die… 	0	1	0	
Wilfrie96307942	13:59:05	18.11.2017		@danielmack Wie , Sie können Zug fahren? Kein Streik?	0	1	0	Deutschland
SevimDagdelen	13:59:39	18.11.2017		RT @DerSPIEGEL: Der neue SPIEGEL ist da! Einige der Themen: Erdogan-Kritiker in Deutschland, Flixbus - das Transportmittel der Besc… 	1	1	0	Bochum-Berlin
DerDemetrius_	14:00:05	18.11.2017		Transport Fever S02 #04 - 56 Personen Zug: https://t.co/ieX1Juzyaj über @YouTube	0	1	0	Deutschland - NRW
GertWalterWolf1	14:00:12	18.11.2017		RT @Timecop66: Frankfurt-Bahnhofsviertel: Versuchtes Tötungsdelikt mit Stichwaffe, ein Nordafrikaner… https://t.co/y7E3UQfGn5 https://t.co/…	0	1	0	
jensscholz	14:00:15	18.11.2017	oh	Lesen im Zug. https://t.co/6UMWEdmb7n	0	1	0	 2. Zeile!
binaryDiv	14:00:25	18.11.2017		"""Die haben 50 diskriminierende Gesetze, kann man alles nachlesen!!"" - ""Welche denn z.B.?"" - ""Keine Ahnung, hab mich… https://t.co/0c8hSZqNDO"	0	1	0	Berlin
tageswoche	14:00:26	18.11.2017		Anne Frank wurde mit der Bahn in den Tod geschickt. Jetzt wird ein Zug nach ihr benannt. Georg Kreis über eine ungl… https://t.co/LpCeMR2LpV	0	1	0	Basel
ZwergTube	14:00:36	18.11.2017		Unser neuer Zug! 🚆 ► [S2|015] ► Let's Play Transport Fever German https://t.co/h1xW2a22Tf	0	1	0	
diamantherz	14:00:51	18.11.2017		@DieJoylina Jaaa ich fahre eigentlich seit ich glaube 17 bin mit Fernbus. Seit ich in Leipzig wohne noch öfter. xD	1	0	0	
ProEmit	14:01:03	18.11.2017		Nein, das hat nichts mit der Deutschen Bahn zu tun, sondern mit einer einfachen Möglichkeit das 1m² sunflow Bundle… https://t.co/JOQfUYm4eC	0	1	0	Deutschland
HolgerEwald1	14:01:30	18.11.2017		Brutaler Übergriff ausländischer Jugendlicher in Wiener U-Bahn - 18-Jährige als Retterin https://t.co/amkODWk8ka	0	1	0	köln
anti_poke	14:01:39	18.11.2017		@Bruugar Offensichtlich nicht in Tokio.. https://t.co/TSatl6c6cM	0	1	0	Garbsen
uweziegenhagen	14:01:48	18.11.2017	Cologne	"RT @dingfabrik: Der gelaserte Zug von Dirk mit neuem Wagen.

#Fablab #Makerspace #OffeneWerkstatt
@bakkacosplay https://t.co/E0V9jsaM7x"	0	1	0	 Germany
stadtprolet	14:02:17	18.11.2017		"RT @Report_Antisem: Nun frei zugänglich: Anti-Israel-Kampagne - Wie #BDS gegen #Israel hetzt. via @tagesspiegel #Berlin
https://t.co/EZ3bed…"	0	1	0	
GreenSkyOverMe	14:02:24	18.11.2017		"RT @LAUTschrift: DAS. ""Zettel"" werden weitergegeben von Gynos. Das produziert zusätzliche Termine, zusätzliches Warten. Abbruch in s… "	0	1	0	Germany; pronoun: she
nordwestnews24	14:02:37	18.11.2017	Bremen	#erixxinfo: Zug 83009 von Bremen Hbf nach Uelzen verkehrt heute mit 13 min Verspätung ab Visselhövede (planmäßige A… https://t.co/YzEChP1oPP	0	1	0	 Deutschland
nordwestnews24	14:02:39	18.11.2017	Bremen	#erixxinfo: Zug 83719 von Buchholz(Nordheide) nach Hannover Hbf verkehrt heute mit 11 min Verspätung ab Lindwedel (… https://t.co/TO8AA4KEDh	0	1	0	 Deutschland
GreenSkyOverMe	14:02:51	18.11.2017		RT @HNXverbot: Informationen über Schwangerschafftsabbrüche müssen niedrigschwellig zugänglich sein! Weg mit §219a! https://t.co/9mzff41UxS	0	1	0	Germany; pronoun: she
F1eIipe	14:03:19	18.11.2017	NÖ	Bahn fahren wird zum modernen Lebensstils. Bald schon auf allen Strecken. https://t.co/GqeOMEhbpj	0	1	0	 Austria
TVHalle	14:03:29	18.11.2017		"Kleine Bahn ganz groß 😍🚂 Ab heute rollen wieder die Modelleisenbahnen durch die Neustädter ""Pusteblume"". Die... https://t.co/UICV34bJzg"	0	1	0	
edith_maria_k	14:03:38	18.11.2017	Dortmund	@StavrosSofronas Ich glaube nicht, dass das stimmt, ich weiß, dass es anders ist: Neues Leben bricht sich allüberal… https://t.co/EkzzbnjKHi	0	1	0	 Deutschland
Mingablog	14:03:40	18.11.2017		Wie verfährt man sich mit einem Zug? 😂 https://t.co/zTODLepfdj	0	1	0	Munich State Of Mind
Svenja_Eck	14:03:51	18.11.2017		RT @HNXverbot: Informationen über Schwangerschafftsabbrüche müssen niedrigschwellig zugänglich sein! Weg mit §219a! https://t.co/9mzff41UxS	0	1	0	Berlin
edith_maria_k	14:04:00	18.11.2017	Dortmund	RT @edith_maria_k: @StavrosSofronas Ich glaube nicht, dass das stimmt, ich weiß, dass es anders ist: Neues Leben bricht sich allüberal… 	0	1	0	 Deutschland
metronom4me	14:04:01	18.11.2017		82020 Bremen Hbf → Hamburg Hbf hat in Rotenburg(Wümme) (planmäßig 13:53) +11 min. Grund: Überholung durch einen anderen Zug .	0	1	0	Uelzen, Niedersachsen, Germany
Maveric39	14:04:39	18.11.2017		RT @MarkusHoehner: Starke Geste des @KarlsruherSC ! Anpfiff auf 14:30 verschoben, weil Zug mit 500 Fans des @FSVZwickau verspätet ist!… 	0	1	0	
unzensuriert	14:05:08	18.11.2017		Brutaler Übergriff ausländischer Jugendlicher in Wiener U-Bahn - 18-Jährige als Retterin https://t.co/vhVDS63s2t	0	1	0	Wien
DatOlli64	14:05:30	18.11.2017		RT @unzensuriert: Brutaler Übergriff ausländischer Jugendlicher in Wiener U-Bahn - 18-Jährige als Retterin https://t.co/vhVDS63s2t	0	1	0	
bahnbilder	14:05:34	18.11.2017		DB Cargo mit der Vectron Doppeltraktion, der realtiv neu angemieteten Railpo #karow900de https://t.co/0TIzlTGZvT https://t.co/pqmBE1ed1w	0	1	0	Berlin
edith_maria_k	14:05:45	18.11.2017	Dortmund	@StavrosSofronas Ich glaube nicht, dass das stimmt, ich weiß, dass es anders ist: Neues Leben bricht sich allüberal… https://t.co/y19ZMRFisY	0	1	0	 Deutschland
edith_maria_k	14:05:49	18.11.2017	Dortmund	RT @edith_maria_k: @StavrosSofronas Ich glaube nicht, dass das stimmt, ich weiß, dass es anders ist: Neues Leben bricht sich allüberal… 	0	1	0	 Deutschland
metronom4me	14:06:02	18.11.2017		82819 Uelzen → Göttingen hat in Großburgwedel (planmäßig 13:56) +10 min. Grund: Überholung durch einen anderen Zug .	0	1	0	Uelzen, Niedersachsen, Germany
hesti5759	14:06:11	18.11.2017		RT @HolgerEwald1: Brutaler Übergriff ausländischer Jugendlicher in Wiener U-Bahn - 18-Jährige als Retterin https://t.co/amkODWk8ka	0	1	0	
Nokiochan	14:06:13	18.11.2017		Jetzt sitz ich im Zug und hab nur Kekse dabei und der Magen fängt an zu knurren. Dumm gelaufen^^°	0	1	0	
nordwestnews24	14:06:15	18.11.2017	Bremen	#metronom: 82020 Bremen Hbf → Hamburg Hbf hat in Rotenburg(Wümme) (planmäßig 13:53) +11 min. Grund: Überholung durch einen anderen Zug .	0	1	0	 Deutschland
nordwestnews24	14:06:16	18.11.2017	Bremen	#metronom: 82819 Uelzen → Göttingen hat in Großburgwedel (planmäßig 13:56) +10 min. Grund: Überholung durch einen anderen Zug .	0	1	0	 Deutschland
anna_IIna	14:06:19	18.11.2017		Zwei Promille: 35-jähriger Asylwerber bespuckt DB-Mitarbeiter und schlägt Bundespolizisten gegen den Kopf. Kurze Ge… https://t.co/ggubD59eng	0	1	0	Dortmund
CityReport	14:06:50	18.11.2017		Marzahn-Hellersdorf:  Weil ein Mann die U-Bahngleise in Hellersdorf überquerte, wurde er von einer Bahn erfasst... https://t.co/2bDkCujyFI	0	1	0	Potsdam
schraeglesen	14:06:49	18.11.2017	Leipzig	Samstagsdienst beendet und im Zug endlich Zeit für den Blog gefunden. Morgen muss schließlich mal der Dezember fert… https://t.co/IPa9OzqSGD	0	1	0	 Deutschland
BlaulichtNews24	14:06:54	18.11.2017	Potsdam	#Berlin: Beim Überqueren der Bahngleise von U-Bahn erfasst https://t.co/QM4U64MqRv https://t.co/9OkxxCRKMj	0	1	0	 Deutschland
Fussball_Bild	14:07:06	18.11.2017		Drittliga-Spiel verschoben - Bahn fuhr Fußball-Fans in falsche Richtung! https://t.co/x0QwttmqSM	0	1	0	Berlin
PotsdamReport	14:07:28	18.11.2017	Potsdam	#Berlin: Beim Überqueren der Bahngleise von U-Bahn erfasst https://t.co/hHs6UkpWZ0 https://t.co/0zz3P6T6wB	0	1	0	 Deutschland
merdeux_	14:07:38	18.11.2017		"@SarahRambatz Solche Überfälle machen Bahnfahren zur neuen deutschen Hölle.
https://t.co/aUOoGbuEsp"	0	1	0	Germany
nando_aze	14:07:44	18.11.2017		Heißer Typ auf 12 Uhr in der S-Bahn. 😏	0	1	0	Köln oder so.
metronom4me	14:08:02	18.11.2017		82020 Bremen Hbf → Hamburg Hbf hat in Rotenburg(Wümme) (planmäßig 13:54) +11 min. Grund: Überholung durch einen anderen Zug .	0	1	0	Uelzen, Niedersachsen, Germany
KristinaVogel	14:08:12	18.11.2017		Bock drauf? Dann hier ⤵️ bei @BridgestoneTyre anmelden! Yes- ich lerne Euch „Bahn fahren“ #egalwaskommt… https://t.co/4V6PZGbhe2	0	1	0	Erfurt
